stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000675,本郷台,36.4811561110561,139.917817548219,0,1,,,,,,,
S090400067500000,本郷台,36.4811561110561,139.917817548219,Z006330,0,S0904000675,,,,,,
S0904000676,本郷台団地南,36.480357623559,139.920004903329,0,1,,,,,,,
S090400067600000,本郷台団地南,36.480357623559,139.920004903329,Z006320,0,S0904000676,,,,,,
S0904000677,本郷台西汗,36.4771547823135,139.916637274932,0,1,,,,,,,
S090400067700000,本郷台西汗,36.4771547823135,139.916637274932,Z006310,0,S0904000677,,,,,,
S0904000678,中央橋,36.5104585936277,139.921322852267,0,1,,,,,,,
S090400067800000,中央橋,36.5104585936277,139.921322852267,Z006470,0,S0904000678,,,,,,
S090400067800001,中央橋,36.5104585936277,139.921322852267,Z006471,0,S0904000678,,,,,,
S090400067800002,中央橋,36.5104585936277,139.921322852267,Z006472,0,S0904000678,,,,,,
S090400067800003,中央橋,36.5104585936277,139.921322852267,Z006473,0,S0904000678,,,,,,
S0904000679,緑の郷入口,36.5101201506262,139.924898959747,0,1,,,,,,,
S090400067900000,緑の郷入口,36.5101201506262,139.924898959747,Z006480,0,S0904000679,,,,,,
S090400067900001,緑の郷入口,36.5101201506262,139.924898959747,Z006481,0,S0904000679,,,,,,
S090400067900002,緑の郷入口,36.5101201506262,139.924898959747,Z006482,0,S0904000679,,,,,,
S090400067900003,緑の郷入口,36.5101201506262,139.924898959747,Z006483,0,S0904000679,,,,,,
S0904000680,みずほ幼稚園北,36.5134791990861,139.926773649383,0,1,,,,,,,
S090400068000000,みずほ幼稚園北,36.5134791990861,139.926773649383,Z006490,0,S0904000680,,,,,,
S090400068000001,みずほ幼稚園北,36.5134791990861,139.926773649383,Z006491,0,S0904000680,,,,,,
S0904000681,東町（日光市）,36.7228798044084,139.693172296435,0,1,,,,,,,
S090400068100000,東町（日光市）,36.7228798044084,139.693172296435,Z006640,0,S0904000681,,,,,,
S0904000682,東武下今市駅入口,36.7243119422851,139.693137511157,0,1,,,,,,,
S090400068200000,東武下今市駅入口,36.7243119422851,139.693137511157,Z006650,0,S0904000682,,,,,,
S0904000683,七本桜入口,36.724034369462,139.703171412854,0,1,,,,,,,
S090400068300000,七本桜入口,36.724034369462,139.703171412854,Z006660,0,S0904000683,,,,,,
S0904000684,赤間々,36.7259699869598,139.706643257613,0,1,,,,,,,
S090400068400000,赤間々,36.7259699869598,139.706643257613,Z006670,0,S0904000684,,,,,,
S0904000685,市営住宅前,36.7262825062938,139.709663825701,0,1,,,,,,,
S090400068500000,市営住宅前,36.7262825062938,139.709663825701,Z006680,0,S0904000685,,,,,,
S0904000686,今市中学校前,36.7259614443765,139.714489828579,0,1,,,,,,,
S090400068600000,今市中学校前,36.7259614443765,139.714489828579,Z006690,0,S0904000686,,,,,,
S0904000687,芝山住宅前,36.725779226781,139.717614577462,0,1,,,,,,,
S090400068700000,芝山住宅前,36.725779226781,139.717614577462,Z006700,0,S0904000687,,,,,,
S0904000688,古河バッテリー前,36.7255623252409,139.722718330254,0,1,,,,,,,
S090400068800000,古河バッテリー前,36.7255623252409,139.722718330254,Z006710,0,S0904000688,,,,,,
S0904000689,今市工高前,36.726413002683,139.726954050421,0,1,,,,,,,
S090400068900000,今市工高前,36.726413002683,139.726954050421,Z006720,0,S0904000689,,,,,,
S0904000690,荊沢入口,36.7262134106733,139.729210816634,0,1,,,,,,,
S090400069000000,荊沢入口,36.7262134106733,139.729210816634,Z006730,0,S0904000690,,,,,,
S0904000691,大室西原,36.7255972305173,139.733411885001,0,1,,,,,,,
S090400069100000,大室西原,36.7255972305173,139.733411885001,Z006740,0,S0904000691,,,,,,
S0904000692,大室下西原,36.7249636747344,139.736675532021,0,1,,,,,,,
S090400069200000,大室下西原,36.7249636747344,139.736675532021,Z006750,0,S0904000692,,,,,,
S0904000693,大室学道,36.7245731800446,139.741744573466,0,1,,,,,,,
S090400069300000,大室学道,36.7245731800446,139.741744573466,Z006760,0,S0904000693,,,,,,
